ID;Bird;Cage;Date of Transfer;Who
713;green10;M5;30.10.2006;Georg
714;s18o;M5;30.10.2006;Georg
715;purple16;U1;30.10.2006;Georg
716;o11o-r12k;M1;30.10.2006;Georg
717;b20o-ch900;U1;30.10.2006;Georg
719;s2o-r16;MK;01.11.2006;Georg
720;o10w;U7;25.10.2006;Florian
721;s3o-r16;IS1;15.09.2006;Richard
722;s3k-y8;IS5;14.10.2006;Florian
723;b19k-r11;AS;01.11.2006;Claude
724;s10o-sb;IS7;01.11.2006;Claude
725;r1o-p11k;M1;03.11.2006;Claude
726;s13o-sb;M1;03.11.2006;Claude
727;g7o-r12k;M1;03.11.2006;Claude
728;s1b-y8;U4;04.11.2006;Claude
729;s2b-y8;U4;04.11.2006;Claude
730;s3b-y8;U4;04.11.2006;Claude
731;s4b-y8;U4;04.11.2006;Claude
732;b18o-silver2;U1;10.11.2006;Isabelle
733;g7o-r12k;IS6;06.11.2006;Claude
734;r1o-p11k;IS7;11.11.2006;Claude
736;p9o-r16;M3;11.11.2006;Claude
737;y19o-r16;M3;11.11.2006;Claude
738;y18o-r16;M3;11.11.2006;Claude
